S&atilde;o Paulo | Todos os Munic&iacute;pios,,,,,,,,,,,,,,
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2025],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2025],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2023],
Aramina,3503000,araminense,LUIS S&Eacute;RGIO CELESTE JORGE,202.829,5420,26.72,5535,98.33,0.740,-,49062547.88,43903724.52,40438.92,
Arandu,3503109,aranduense,FLAVIO CARLOMAGNO GALHEGO,285.908,6885,24.08,7076,99.24,0.685,36.59,69833316.95,63513197.11,31552.42,
Arape&iacute;,3503158,arapeiense,REN&Ecirc; L&Uacute;CIO GON&Ccedil;ALVES,156.479,2330,14.85,2355,100,0.680,-,39416153.74,38795813.22,22848,
Araraquara,3503208,araraquarense,LUIS CLAUDIO LAPENA BARRETO,1003.626,242228,241.35,253474,98.27,0.815,14.64,1853090162,1777396870,60643.28,
Araras,3503307,ararense,IRINEU NORIVAL MARETTO,644.805,130866,202.95,135744,99.37,0.781,9.15,992147262.2,1055730697,76588.83,
Arco-&Iacute;ris,3503356,arcoirense,ALDO MANSANO FERNANDES,264.904,2044,7.72,2089,99.24,0.722,-,34085521.91,28987307.87,66696.94,
Arealva,3503406,arealvense,PAULO JULIANO NICOLIELO JUNIOR,506.226,8130,16.06,8290,99.31,0.744,-,59458512.08,55541738.45,37036.91,
Areias,3503505,areiense,RODRIGO JOSE RAMOS DE OLIVEIRA,303.98,3577,11.72,3617,99.17,0.697,37.74,45692007.27,44605650.62,20979.07,
Arei&oacute;polis,3503604,areiopolitano,MICHEL HENRIQUE AUGUSTO,85.907,10130,117.92,10242,99.17,0.695,39.37,66850682.72,66509756.78,21886.14,
Ariranha,3503703,ariranhense,EMERSON ANTONIO TROV&Oacute;,132.624,7602,57.32,7621,95.88,0.733,-,70695208.84,67943426.22,164693.79,
Artur Nogueira,3503802,nogueirense,LUCAS SIA RISSATO,181.786,51456,289.04,53467,98.48,0.749,1.65,319157474,308062799.6,42032.66,
Aruj&aacute;,3503901,arujaense / arujano,LUIS ANTONIO DE CAMARGO,96.369,86678,901.33,90273,100,0.784,13.18,655276111,600366081.4,120285.74,
Asp&aacute;sia,3503950,aspasiense,IVAN DE PAULA,69.373,1842,26.55,1875,100,0.735,-,31674801.57,24980474.48,35749.6,
Assis,3504008,assisense,TELMA GONCALVES CARNEIRO SPERA DE ANDRADE,460.609,101409,220.16,104858,99.09,0.805,12.49,639233100.2,648630967.3,46175.48,
Atibaia,3504107,atibaiano,DANIEL DA ROCHA MARTINI,478.52,158647,331.54,167161,97.87,0.765,11.35,1293002954,1255111550,59418.61,
Auriflama,3504206,auriflamense,KATIA CONCEI&Ccedil;&Atilde;O MORITA DE CARVALHO,434.117,13692,31.51,13856,99.05,0.773,15.15,87714317.09,84911843.08,32396.47,
Ava&iacute;,3504305,avaiense,HELLEN FERNANDES RODRIGUES COELHO,540.689,4483,8.29,4503,99.51,0.714,14.29,54228875.89,46901573.14,111745.11,
Avanhandava,3504404,avanhandavense,NORBERTO CESAR BERALDO,338.37,11263,33.29,11436,99.49,0.705,7.69,79433258.17,70174353.02,26258.97,
Avar&eacute;,3504503,avareense,ROBERTO DE ARAUJO,1213.055,92805,76.51,96450,99.02,0.767,20.17,593541160.2,519109752.2,47503.24,
Bady Bassitt,3504602,badiense,JANIMEIRI CATELANI BUZZI,110.372,27260,246.98,29346,99.38,0.746,5.48,172490974.5,156459039.6,27960.2,
Balbinos,3504701,balbinense,JOSE MARCIO RIGOTTO,91.635,3887,42.42,3969,100,0.669,-,29592681.88,23479529.56,21326.13,
B&aacute;lsamo,3504800,balsamense,JOSE EDUARDO NALIATI JUNIOR,149.881,9596,64.02,9902,99.47,0.756,10.53,62192538.6,56544571.07,38335.86,
Bananal,3504909,bananalense,WILLIAM LANDIM DA SILVA,616.934,9969,16.17,10097,99.19,0.733,21.51,79694671.28,70292894.89,28332.23,
Bar&atilde;o de Antonina,3505005,bar&atilde;oense,RODRIGO WALDEMAR MARQUES,153.142,3531,23.06,3632,98.37,0.711,-,37720370.32,31330760.66,22770.74,
Barbosa,3505104,barbosano,RODRIGO PRIMO ANTUNES,205.212,5640,27.48,5627,99.63,0.699,-,50075629.73,44420167.33,33142.31,
Bariri,3505203,baririense,AIRTON LUIS PEGORARO,444.405,31595,71.10,32406,99.33,0.750,10.72,189877688.2,174177245.9,58989.2,
Barra Bonita,3505302,barra-bonitense,MANOEL FABIANO FERREIRA FILHO,150.121,34346,228.79,35129,99.74,0.788,14.55,235125457.9,222279660.8,60499.06,
Barra do Chap&eacute;u,3505351,barrense,IVANIL NORBERTO PEREIRA NOLASCO,405.681,5179,12.77,5254,99.35,0.660,43.48,48798836.44,42996723.73,39171.73,
Barra do Turvo,3505401,barra-turvense,VICTOR MARUYAMA,1007.684,6876,6.82,6894,98.19,0.641,12.82,72241915.01,63986464.28,21110.97,
Barretos,3505500,barretense,ODAIR DE MOURA E SILVA,1566.161,122485,78.21,126957,98.52,0.789,8.73,1075459991,1146526155,54826.42,
Barrinha,3505609,barrinhense,MARIA L&Uacute;CIA TERESINHA GROTTA,148.756,32092,219.77,33304,98.39,0.725,14.32,175955482.3,159359645.9,22983.3,
Barueri,3505708,barueriense,JOSE ROBERTO PITERI,66.364,316473,4816.87,333737,98.81,0.786,5.88,5629537893,5230632951,226391.22,
Bastos,3505807,bastense,KLEBER LOPES DE SOUSA,170.912,21503,125.81,21936,99.45,0.751,12.99,148502038,126693283,74250.25,
Batatais,3505906,batataense,LUIS FERNANDO BENEDINI GASPAR JUNIOR,849.526,58402,68.75,59939,98.89,0.761,15.85,380272771.5,356289080.2,56996.17,
Bauru,3506003,bauruense,SU&Eacute;LLEN SILVA ROSIM,667.684,379146,567.85,392947,99.12,0.801,8.3,2009862847,2265239216,54477.06,
